SUBCATEGORIA;DESCR_SUBCAT;DESCRABREV;CATEGORIA;DESCR_CAT;GRUPO;CAPITULO
Q715;Defeito de redução longitudinal do cúbito [ulna];Q71.5 Defeito de reducao longitudinal do cubito;Q71;Defeitos, por redução, do membro superior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q716;Mão em garra de lagosta;Q71.6 Mao em garra de lagosta;Q71;Defeitos, por redução, do membro superior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q718;Outros defeitos de redução do membro superior;Q71.8 Outr defeitos de reducao do membro super;Q71;Defeitos, por redução, do membro superior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q719;Defeito por redução do membro superior, não especificado;Q71.9 Defeito p/reducao do membro super NE;Q71;Defeitos, por redução, do membro superior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q720;Ausência congênita completa do(s) membro(s) inferior(es);Q72.0 Ausencia congen completa de membros infer;Q72;Defeitos, por redução, do membro inferior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q721;Ausência congênita da coxa e da perna com pé presente;Q72.1 Ausencia congen coxa perna c/pe presente;Q72;Defeitos, por redução, do membro inferior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q722;Ausência congênita da perna e do pé;Q72.2 Ausencia congen da perna e do pe;Q72;Defeitos, por redução, do membro inferior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q723;Ausência congênita do pé e de artelho(s);Q72.3 Ausencia congen do pe e de artelhos;Q72;Defeitos, por redução, do membro inferior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q724;Defeito por redução longitudinal da tíbia;Q72.4 Defeito p/reducao longitudinal da tibia;Q72;Defeitos, por redução, do membro inferior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q725;Defeito por redução longitudinal da tíbia;Q72.5 Defeito p/reducao longitudinal da tibia;Q72;Defeitos, por redução, do membro inferior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q726;Defeito por redução longitudinal do perônio [fíbula];Q72.6 Defeito p/reducao longitudinal do peronio;Q72;Defeitos, por redução, do membro inferior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q727;Pé bífido;Q72.7 Pe bifido;Q72;Defeitos, por redução, do membro inferior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q728;Outros defeitos por redução do(s) membro(s) inferior(es);Q72.8 Outr defeitos p/reducao de membros infer;Q72;Defeitos, por redução, do membro inferior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q729;Defeito não especificado por redução do membro inferior;Q72.9 Defeito NE p/reducao do membro infer;Q72;Defeitos, por redução, do membro inferior;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q730;Ausência congênita de membro(s) não especificado(s);Q73.0 Ausencia congen de membros NE;Q73;Defeitos por redução de membro não especificado;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q731;Focomelia, membro(s) não especificado(s);Q73.1 Focomelia membros NE;Q73;Defeitos por redução de membro não especificado;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q738;Outros defeitos por redução de membro(s) não especificado(s);Q73.8 Outr defeitos p/reducao de membros NE;Q73;Defeitos por redução de membro não especificado;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q740;Outras malformações congênitas do(s) membro(s) superiores, inclusive da cintura escapular;Q74.0 Out malform cong membr super incl cint escap;Q74;Outras malformações congênitas dos membros;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q741;Malformação congênita do joelho;Q74.1 Malformacao congen do joelho;Q74;Outras malformações congênitas dos membros;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q742;Outras malformações congênitas do(s) membro(s) inferiores, inclusive da cintura pélvica;Q74.2 Outr malform cong membros inf incl cint pelv;Q74;Outras malformações congênitas dos membros;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q743;Artrogripose congênita múltipla;Q74.3 Artrogripose congen mult;Q74;Outras malformações congênitas dos membros;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q748;Outras malformações congênitas especificadas de membro(s);Q74.8 Outr malformacoes congen espec de membros;Q74;Outras malformações congênitas dos membros;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q749;Malformações congênitas não especificadas de membro(s);Q74.9 Malformacoes congen NE de membros;Q74;Outras malformações congênitas dos membros;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q750;Craniossinostose;Q75.0 Craniossinostose;Q75;Outras malformações congênitas dos ossos do crânio e da face;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q751;Disostose craniofacial;Q75.1 Disostose craniofacial;Q75;Outras malformações congênitas dos ossos do crânio e da face;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q752;Hipertelorismo;Q75.2 Hipertelorismo;Q75;Outras malformações congênitas dos ossos do crânio e da face;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q753;Macrocefalia;Q75.3 Macrocefalia;Q75;Outras malformações congênitas dos ossos do crânio e da face;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q754;Disostose mandíbulo-facial;Q75.4 Disostose mandibulo-facial;Q75;Outras malformações congênitas dos ossos do crânio e da face;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q755;Disostose óculo-mandibular;Q75.5 Disostose oculo-mandibular;Q75;Outras malformações congênitas dos ossos do crânio e da face;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q758;Outras malformações congênitas especificadas dos ossos do crânio e da face;Q75.8 Outr malform congen espec ossos cranio face;Q75;Outras malformações congênitas dos ossos do crânio e da face;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q759;Malformação congênita não especificada dos ossos do crânio e da face;Q75.9 Malform congen NE dos ossos cranio e face;Q75;Outras malformações congênitas dos ossos do crânio e da face;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q760;Espinha bífida oculta;Q76.0 Espinha bifida oculta;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q761;Síndrome de Klippel-Feil;Q76.1 Sindr de Klippel-Feil;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q762;Espondilolistese congênita;Q76.2 Espondilolistese congen;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q763;Escoliose congênita devida à malformação óssea congênita;Q76.3 Escoliose congen dev malform ossea congen;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q764;Outras malformações congênitas da coluna vertebral não-associadas com escoliose;Q76.4 Out malf cong coluna vert n-assoc escoliose;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q765;Costela cervical;Q76.5 Costela cervical;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q766;Outras malformações congênitas das costelas;Q76.6 Outr malformacoes congen das costelas;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q767;Malformação congênita do esterno;Q76.7 Malformacao congen do esterno;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q768;Outras malformações congênitas dos ossos do tórax;Q76.8 Outr malformacoes congen dos ossos do torax;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q769;Malformação congênita não especificada dos ossos do tórax;Q76.9 Malformacao congen NE dos ossos do torax;Q76;Malformações congênitas da coluna vertebral e dos ossos do tórax;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q770;Acondrogenesia;Q77.0 Acondrogenesia;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q771;Nanismo tanatofórico;Q77.1 Nanismo tanatoforico;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q772;Síndrome das costelas curtas;Q77.2 Sindr das costelas curtas;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q773;Condrodisplasia puntacta;Q77.3 Condrodisplasia puntacta;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q774;Acondroplasia;Q77.4 Acondroplasia;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q775;Displasia diastrófica;Q77.5 Displasia diastrofica;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q776;Displasia condroectodérmica;Q77.6 Displasia condroectodermica;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q777;Displasia espondiloepifisária;Q77.7 Displasia espondiloepifisaria;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q778;Outras osteocondrodisplasias com anomalias do crescimento dos ossos longos e da coluna vertebral;Q77.8 Out osteocon c/anom cresc osso long col vert;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q779;Osteocondrodisplasia não especificada com anomalias do crescimento dos ossos longos e da coluna vertebral;Q77.9 Osteocond NE c/anom cresc osso long col vert;Q77;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q780;Osteogênese imperfeita;Q78.0 Osteogenese imperfeita;Q78;Outras osteocondrodisplasias;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q781;Displasia poliostótica fibrosa;Q78.1 Displasia poliostotica fibrosa;Q78;Outras osteocondrodisplasias;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q782;Osteopetrose;Q78.2 Osteopetrose;Q78;Outras osteocondrodisplasias;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q783;Displasia diafisária progressiva;Q78.3 Displasia diafisaria progressiva;Q78;Outras osteocondrodisplasias;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q784;Encondromatose;Q78.4 Encondromatose;Q78;Outras osteocondrodisplasias;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q785;Displasia metafisária;Q78.5 Displasia metafisaria;Q78;Outras osteocondrodisplasias;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q786;Exostoses congênitas múltiplas;Q78.6 Exostoses congen mult;Q78;Outras osteocondrodisplasias;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q788;Outras osteocondrodisplasias especificadas;Q78.8 Outr osteocondrodisplasias espec;Q78;Outras osteocondrodisplasias;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q789;Osteocondrodisplasia não especificada;Q78.9 Osteocondrodisplasia NE;Q78;Outras osteocondrodisplasias;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q790;Hérnia diafragmática congênita;Q79.0 Hernia diafragmatica congen;Q79;Malformações congênitas do sistema osteomuscular não classificadas em outra parte;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q791;Outras malformações congênitas do diafragma;Q79.1 Outr malformacoes congen do diafragma;Q79;Malformações congênitas do sistema osteomuscular não classificadas em outra parte;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q792;Exonfalia;Q79.2 Exonfalia;Q79;Malformações congênitas do sistema osteomuscular não classificadas em outra parte;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q793;Gastrosquise;Q79.3 Gastrosquise;Q79;Malformações congênitas do sistema osteomuscular não classificadas em outra parte;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q794;"Síndrome do abdome em ameixa seca (""prune belly syndrome"")";Q79.4 Sindr do abdome em ameixa seca;Q79;Malformações congênitas do sistema osteomuscular não classificadas em outra parte;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q795;Outras malformações congênitas da parede abdominal;Q79.5 Outr malformacoes congen da parede abdominal;Q79;Malformações congênitas do sistema osteomuscular não classificadas em outra parte;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q796;Síndrome de Ehlers-Danlos;Q79.6 Sindr de Ehlers-Danlos;Q79;Malformações congênitas do sistema osteomuscular não classificadas em outra parte;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q798;Outras malformações congênitas do sistema osteomuscular;Q79.8 Outr malformacoes congen sist osteomuscular;Q79;Malformações congênitas do sistema osteomuscular não classificadas em outra parte;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q799;Malformação congênita não especificada do sistema osteomuscular;Q79.9 Malformacao congen NE do sist osteomuscular;Q79;Malformações congênitas do sistema osteomuscular não classificadas em outra parte;Malformações e deformidades congênitas do sistema osteomuscular;Malformações congênitas, deformidades e anomalias cromossômicas
Q800;Ictiose vulgar;Q80.0 Ictiose vulgar;Q80;Ictiose congênita;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q801;Ictiose ligada ao cromossomo X;Q80.1 Ictiose ligada ao cromossomo X;Q80;Ictiose congênita;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q802;Ictiose lamelar;Q80.2 Ictiose lamelar;Q80;Ictiose congênita;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q803;Eritrodermia ictiosiforme bulhosa congênita;Q80.3 Eritrodermia ictiosiforme bulhosa congen;Q80;Ictiose congênita;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q804;Feto arlequim;Q80.4 Feto arlequim;Q80;Ictiose congênita;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q808;Outras ictioses congênitas;Q80.8 Outr ictioses congen;Q80;Ictiose congênita;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q809;Ictiose congênita não especificada;Q80.9 Ictiose congen NE;Q80;Ictiose congênita;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q810;Epidermólise bolhosa simples;Q81.0 Epidermolise bolhosa simples;Q81;Epidermólise bolhosa;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q811;Epidermólise bolhosa letal;Q81.1 Epidermolise bolhosa letal;Q81;Epidermólise bolhosa;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q812;Epidermólise bolhosa distrófica;Q81.2 Epidermolise bolhosa distrofica;Q81;Epidermólise bolhosa;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q818;Outras epidermólises bolhosas;Q81.8 Outr epidermolises bolhosas;Q81;Epidermólise bolhosa;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q819;Epidermólise bolhosa não especificada;Q81.9 Epidermolise bolhosa NE;Q81;Epidermólise bolhosa;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q820;Linfedema hereditário;Q82.0 Linfedema hereditario;Q82;Outras malformações congênitas da pele;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q821;Xeroderma pigmentoso;Q82.1 Xeroderma pigmentoso;Q82;Outras malformações congênitas da pele;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q822;Mastocitose;Q82.2 Mastocitose;Q82;Outras malformações congênitas da pele;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q823;Incontinentia pigmenti;Q82.3 Incontinentia pigmenti;Q82;Outras malformações congênitas da pele;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q824;Displasia ectodérmica (anidrótica);Q82.4 Displasia ectodermica;Q82;Outras malformações congênitas da pele;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q825;Nevo não-neoplásico congênito;Q82.5 Nevo nao-neoplasico congen;Q82;Outras malformações congênitas da pele;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q828;Outras malformações congênitas especificadas da pele;Q82.8 Outr malformacoes congen espec da pele;Q82;Outras malformações congênitas da pele;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q829;Malformação congênita não especificada da pele;Q82.9 Malformacao congen NE da pele;Q82;Outras malformações congênitas da pele;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q830;Ausência congênita da mama com ausência do mamilo;Q83.0 Ausencia congen da mama c/ausencia do mamilo;Q83;Malformações congênitas da mama;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q831;Mama supranumerária;Q83.1 Mama supranumeraria;Q83;Malformações congênitas da mama;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q832;Ausência de mamilo;Q83.2 Ausencia de mamilo;Q83;Malformações congênitas da mama;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q833;Mamilo acessório;Q83.3 Mamilo acessorio;Q83;Malformações congênitas da mama;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q838;Outras malformações congênitas da mama;Q83.8 Outr malformacoes congen da mama;Q83;Malformações congênitas da mama;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q839;Malformação congênita não especificada da mama;Q83.9 Malformacao congen NE da mama;Q83;Malformações congênitas da mama;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q840;Alopécia congênita;Q84.0 Alopecia congen;Q84;Outras malformações congênitas do tegumento;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q841;Alterações morfológicas congênitas dos cabelos não classificadas em outra parte;Q84.1 Alteracoes morfologicas congen cabelos NCOP;Q84;Outras malformações congênitas do tegumento;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q842;Outras malformações congênitas dos cabelos;Q84.2 Outr malformacoes congen dos cabelos;Q84;Outras malformações congênitas do tegumento;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q843;Anoníquia;Q84.3 Anoniquia;Q84;Outras malformações congênitas do tegumento;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q844;Leuconíquia congênita;Q84.4 Leuconiquia congen;Q84;Outras malformações congênitas do tegumento;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q845;Hipertrofia e alargamento das unhas;Q84.5 Hipertrofia e alargamento das unhas;Q84;Outras malformações congênitas do tegumento;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q846;Outras malformações congênitas das unhas;Q84.6 Outr malformacoes congen das unhas;Q84;Outras malformações congênitas do tegumento;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q848;Outras malformações congênitas especificadas do tegumento;Q84.8 Outr malformacoes congen espec do tegumento;Q84;Outras malformações congênitas do tegumento;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q849;Malformação congênita não especificada do tegumento;Q84.9 Malformacao congen NE do tegumento;Q84;Outras malformações congênitas do tegumento;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q850;Neurofibromatose (não-maligna);Q85.0 Neurofibromatose;Q85;Facomatoses não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q851;Esclerose tuberosa;Q85.1 Esclerose tuberosa;Q85;Facomatoses não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q858;Outras facomatoses não classificadas em outra parte;Q85.8 Outr facomatoses NCOP;Q85;Facomatoses não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q859;Facomatose não especificada;Q85.9 Facomatose NE;Q85;Facomatoses não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q860;Síndrome fetal alcoólico (dismórfico);Q86.0 Sindr fetal alcoolico;Q86;Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q861;Síndrome fetal devida à hidantoína;Q86.1 Sindr fetal dev hidantoina;Q86;Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q862;Dismorfismo devido ao Warfarin;Q86.2 Dismorfismo dev Warfarin;Q86;Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q868;Outras síndromes com malformações congênitas devidas a causas exógenas conhecidas;Q86.8 Outr sindr c/malf cong dev causas exog conh;Q86;Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q870;Síndromes com malformações congênitas afetando predominantemente o aspecto da face;Q87.0 Sindr c/malf cong afet predom aspecto face;Q87;Outras síndromes com malformações congênitas que acometem múltiplos sistemas;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q871;Síndromes com malformações congênitas associadas predominantemente com nanismo;Q87.1 Sindr c/malform congen assoc predom nanismo;Q87;Outras síndromes com malformações congênitas que acometem múltiplos sistemas;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q872;Síndromes com malformações congênitas afetando predominantemente os membros;Q87.2 Sindr c/malform congen afetando predom membr;Q87;Outras síndromes com malformações congênitas que acometem múltiplos sistemas;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q873;Síndromes com malformações congênitas com hipercrescimento precoce;Q87.3 Sindr c/malform congen c/hipercresc precoce;Q87;Outras síndromes com malformações congênitas que acometem múltiplos sistemas;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q874;Síndrome de Marfan;Q87.4 Sindr de Marfan;Q87;Outras síndromes com malformações congênitas que acometem múltiplos sistemas;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q875;Outras síndromes com malformações congênitas com outras alterações do esqueleto;Q87.5 Outr sindr c/malf cong c/outr alt esqueleto;Q87;Outras síndromes com malformações congênitas que acometem múltiplos sistemas;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q878;Outras síndromes com malformações congênitas especificadas, não classificadas em outra parte;Q87.8 Outr sindr c/malformacoes congen espec NCOP;Q87;Outras síndromes com malformações congênitas que acometem múltiplos sistemas;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q890;Malformações congênitas do baço;Q89.0 Malformacoes congen do baco;Q89;Outras malformações congênitas não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q891;Malformações congênitas das supra-renais;Q89.1 Malformacoes congen das supra-renais;Q89;Outras malformações congênitas não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q892;Malformações congênitas de outras glândulas endócrinas;Q89.2 Malformacoes congen de outr gland endocrinas;Q89;Outras malformações congênitas não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q893;Situs inversus;Q89.3 Situs inversus;Q89;Outras malformações congênitas não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q894;Reunião de gêmeos;Q89.4 Reuniao de gemeos;Q89;Outras malformações congênitas não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q897;Malformações congênitas múltiplas, não classificadas em outra parte;Q89.7 Malformacoes congen mult NCOP;Q89;Outras malformações congênitas não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q898;Outras malformações congênitas especificadas;Q89.8 Outr malformacoes congen espec;Q89;Outras malformações congênitas não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q899;Malformações congênitas não especificadas;Q89.9 Malformacoes congen NE;Q89;Outras malformações congênitas não classificadas em outra parte;Outras malformações congênitas;Malformações congênitas, deformidades e anomalias cromossômicas
Q900;Trissomia 21, não-disjunção meiótica;Q90.0 Trissomia 21 nao-disjuncao meiotica;Q90;Síndrome de Down;Anomalias cromossômicas não classificadas em outra parte;Malformações congênitas, deformidades e anomalias cromossômicas
